Episode,Total_Reward,Total_Infected
1,-24.793996343440227,242.1234375285848
2,-25.892493449332818,141.1899269772344
3,-26.526264862990963,167.39008628886535
4,-25.836205845928706,138.0337558648186
5,-26.860732094606075,117.61341543363022
6,-25.169577475013114,170.58196183988235
7,-25.013691203554156,151.55018637211208
8,-26.619689384220756,209.81967085915696
9,-27.40309554247961,233.50816391386752
10,-27.717715149829782,208.33207170020935
11,-27.92339638217113,216.46776917225517
12,-25.77802007293382,127.76119349881334
13,-27.00674129353897,166.277396391811
14,-26.110337849135824,171.7619014745311
15,-26.971811912932225,121.88425894985136
16,-25.1276593729529,151.62230834568538
17,-26.080066076267986,192.422588108469
18,-26.366153965054206,161.23925923444853
19,-26.06572388652315,89.73679278697354
20,-26.823250833640223,137.33877714386995
21,-26.149754154012612,230.9207760461486
22,-26.750738848554647,174.52293726166863
23,-25.654103141365216,156.46243791319742
24,-25.090651469009014,234.8305558954553
25,-25.27018845493459,197.87836960181707
26,-23.117843606018525,141.409512062464
27,-23.625818105779445,331.2845819097409
28,-21.119425558974985,142.36757191539263
29,-21.244775276468697,198.03693378125425
30,-21.544939652506848,185.8187340158902
31,-22.128807747285265,131.80930563631895
32,-20.794324726701145,126.86241954618357
33,-20.9522296121974,131.1027534322726
34,-22.52861775905956,181.560387040445
35,-20.406196990289544,118.76251292129906
36,-20.80005725855593,267.71676758739534
37,-20.569032420195,201.63726409383196
38,-21.131952756533522,226.39709523218016
39,-20.797666663391222,134.5206546717834
40,-20.289225260798812,133.42040293094402
41,-21.015163635236412,131.7278783462937
42,-20.476952163416797,143.0821063805355
43,-21.647723087902992,168.01618082620394
44,-21.89751928049534,112.42347876922082
45,-19.892860668632288,96.67370332961767
46,-19.792003891403525,146.98600244791763
47,-21.35576865564607,274.05677527112636
48,-20.00288703415179,251.13565762411423
49,-19.556101151175408,120.4071240673583
50,-20.82886951539457,130.9482403847088
51,-21.11574261646583,132.9226771167344
52,-20.877592453265237,184.45877167986012
53,-21.889395999301737,212.6925127325367
54,-20.200990468498816,154.3409507814343
55,-20.936531268893365,183.82315489477247
56,-21.124005041990152,180.32089773906014
57,-20.916845490269896,188.63405746328723
58,-19.923398334516808,117.32707012882302
59,-21.841455900102503,253.89599997958004
60,-20.85649700001526,105.5849502820082
61,-20.743738413169247,150.87507783066098
62,-20.946737861774658,162.9588057802794
63,-20.08321596635033,109.61485895820283
64,-19.918234339056596,196.31027650129846
65,-21.896844685886357,192.80608273869677
66,-21.563545214328638,322.41437319962716
67,-20.18091310509403,114.92511336758956
68,-20.70127347307081,131.79674945279095
69,-21.03730065964477,137.66381230690075
70,-21.24449386092348,171.0877820218442
71,-21.04307057976838,178.24134166542734
72,-22.202249588017562,227.36500130716612
73,-21.221803409136466,119.34998585706772
74,-21.204439349033052,164.88575980659851
75,-21.53624801201166,143.21339729489688
76,-21.200297373100373,214.64646086563894
77,-21.45540934102948,178.8652822842842
78,-21.371075515752356,200.099641955692
79,-20.434505642529807,179.63426567214694
80,-20.075389950515415,250.35783724169613
81,-19.993796975909206,100.9612277321438
82,-20.424693441341645,126.35656544798466
83,-20.461142042196233,192.88451580854303
