infected,reward,economic_cost
183.28406009153446,-24.277635439431755,47.61180607192268
143.580238559014,-26.692546101366688,52.85236949500287
182.90816429549707,-27.19855831408587,53.410423837218765
155.36411789024694,-26.013085869943396,51.436241112277806
105.03584438864918,-25.62848163098385,50.97062285784336
151.68141123353564,-24.987186369883766,49.42864510739103
155.01735498744517,-24.566754608400704,48.53620106800387
184.06305696314155,-23.515937005319625,46.05737503000587
215.43872092573122,-23.279783357436667,45.17975843135595
280.30344345718413,-24.8883099974881,47.56928689336663
203.72335990756338,-24.777709317220015,48.415435695928295
146.8178849284556,-24.192082179055586,47.8097343787284
177.51794271587337,-24.234342778844006,47.65996457173789
153.92985510283742,-24.006361833515346,47.426974893427165
138.85755792814157,-23.55680183677128,46.616388864303026
190.48818821929626,-23.56624289091159,46.08082841634154
203.762414972883,-23.657619597027438,46.17998785935903
134.7540864824088,-22.71756484305503,44.970104056819125
152.59824045554979,-22.885752068283644,45.15348714306606
184.88350554135872,-22.274874587599356,43.532625628544594
163.5849476353908,-21.758584936063276,42.79701190227012
127.0780917055783,-19.68218933778248,38.88141330370671
222.27709271570743,-18.239265182551566,35.024143357826226
304.4800756718338,-19.329312948763466,36.00641899347454
209.7896376092435,-17.33611548349794,33.439443406511565
166.6101564786732,-14.864321774733531,29.045745552157225
153.73841888246682,-14.475019036117512,28.25584130147803
93.97585804358935,-15.4041741383547,30.53583753009047
147.42997835206205,-16.13926596918775,31.649112613282036
176.88639439959366,-16.454063985140593,32.0352485452585
213.59233560932904,-16.504183516034555,31.651926517320476
139.18575433329644,-14.626486300588459,28.735294744053846
135.48808480783046,-14.861165063217504,29.20622525080462
186.66454550863907,-14.723871246264302,28.41004371426343
112.84551408175513,-15.007179876480516,29.658339858692713
95.38510102430254,-14.665484518030892,29.10564543842979
184.70854738075772,-15.147915908410214,29.315334341948557
181.40894689780598,-15.827391789116533,30.666938802946493
120.14033164906897,-15.566795583319632,30.730855995278937
256.2468699538734,-15.970172745507245,29.959180044384556
195.6744999127279,-15.758849719656775,30.387525141856216
173.81868342656267,-17.12822204681545,33.40816777584003
181.02108484505524,-17.57878841750049,34.222227519058464
186.14162219191093,-16.95534933308702,32.99506370934626
232.41049895665142,-18.13275148761126,34.67693332415125
158.83651913626434,-17.80335857350075,34.94341993199057
174.4123270059862,-18.14158577593244,35.44924467234325
233.52772362227503,-18.743381097989893,35.94159205880249
224.87744990284406,-17.86609203016527,34.417320217954426
110.37584605680564,-16.41796176221145,32.52734162840821
166.60488399951234,-16.278433228973256,31.853201340440172
173.7443969658035,-16.574211816455428,32.23904920062241
130.5070280632076,-15.567073730842852,30.68047928971167
219.97851805031638,-14.980118922127126,28.522629492564587
206.13380586081067,-15.17002874199538,29.10678970211795
103.92316247981546,-14.392676441288152,28.506485934636835
164.43139712110516,-13.167471420847834,25.642148429737432
169.21764081275205,-13.96022922286076,27.177575232763065
225.85410868071955,-14.034212582042171,26.67862033391391
148.2908068725403,-12.940490113410632,25.304522493858936
193.3849615939004,-13.259124978802284,25.555179529710227
213.4970478065821,-13.27937888512549,25.263152395952734
247.7605475180431,-13.509713026968043,25.34566372947803
242.42061312604355,-13.753323031694302,25.8952331614015
154.821270237256,-13.259345744202552,25.788555185819
168.85380505560167,-13.192893124582756,25.599932822737994
