infected,reward,economic_cost
157.96962214384533,-24.36304506266694,48.01969893843192
122.35072286325935,-26.04727410085067,51.637395253878395
166.03856172239253,-27.201092807713533,53.64386680064181
143.03378749355403,-27.48670382257068,54.40375459866458
165.7996139717326,-26.560134664447265,52.44867644475316
138.53592804077303,-26.54325170354531,52.54008096384503
87.95204827696817,-26.14558035772637,52.08770782412847
174.8577321708033,-26.480611929151248,52.15719956943504
160.3859516541839,-26.542326116871607,52.40351114546866
148.2111314529586,-26.708781758893576,52.87151010588447
156.51341532550808,-27.46984331949358,54.31382898730014
237.5508500979232,-27.39354221828631,53.25028216729289
153.56101741897456,-26.51084221106003,52.46298757951967
192.90569028005336,-25.617997176334296,50.213305483702904
94.64714676629154,-19.76517784095386,39.29499078492645
93.37582354246925,-17.365872489293384,34.5011046246976
222.73681730986277,-19.453733523399087,37.48970297525558
187.3372497933527,-19.346641829804156,37.76498908903052
172.4281826250102,-19.31239746965245,37.7368968536845
161.945441744507,-18.14304558602622,35.54141296713932
257.67206031856426,-15.989121267746981,30.1482395356346
173.8111181788226,-12.467903548830726,24.19653362359013
219.37113157187565,-11.458162832706893,21.566990321737205
170.32291756122694,-9.905069596388241,18.98512077135654
132.74963499787205,-9.64989502241556,18.876697785085785
147.52560250984095,-10.99302390573494,21.409370427571442
132.04924290172977,-9.770073519580764,19.04065386761808
188.1134280147977,-9.76881957811997,18.485347248022663
231.56657183440464,-10.01821341578155,18.428827882396025
113.05301056670947,-8.954040976284805,17.588702262998876
250.90833818451404,-11.452881801543112,21.078071778794587
229.51596623366135,-12.345004553792293,23.170086642965423
116.05773984806554,-11.979846890289773,23.576166247458943
119.0039427221051,-11.046117878607749,21.731572435195023
193.04580388469412,-9.694162476930599,18.31038577894833
354.53863515345495,-9.548104176968181,15.522323158839407
192.97539428854083,-9.028544406513975,16.919175377556588
180.84789933290716,-8.591547820091987,16.305336449262413
186.95905157246006,-6.935640648380428,12.906954922734476
266.5708264099568,-7.0637776102051415,12.25764995256614
205.61677025604928,-6.421410435542499,11.672344037272161
228.3985284904592,-6.525250066053491,11.672145134924778
113.05544167067063,-7.452064336735983,14.567673491682768
191.5953374844862,-8.262748506001147,15.50720897623931
139.89086066157893,-8.021140790209447,15.561651386311652
172.77183904078268,-9.28572258696846,17.77915561901789
129.19751194684082,-10.579064961199112,20.659968063623438
264.6720542330705,-10.916506488327087,19.997132174034242
124.86963792310998,-10.07842433184605,19.716955588242723
128.22136857237092,-10.773299036192405,21.105984133466915
119.65566169094242,-11.51499167920427,22.6764175706681
150.9821688995568,-12.196194159548938,23.759027452130045
166.97390873363017,-11.295057579243107,21.78281687369833
249.71185745667017,-11.454628484686364,21.138183291849643
153.03765777589012,-11.108962438494485,21.62991025884903
207.22270264964612,-11.613890393215158,21.848360262060677
148.48767341437107,-12.629568149262814,24.651544378429115
174.5108110268784,-14.310030451599015,27.82224326291859
243.61213387950983,-14.847190867068198,27.971434174553213
151.65055838544748,-17.50214395834043,34.38870480280241
100.45745179556454,-18.726832650326756,37.18360438760904
155.75529539791643,-19.144140969579556,37.563968809140015
245.4796965946642,-20.194624044716658,38.65338975251419
123.43331182056242,-20.157278164195116,39.87309785052148
142.03776135421185,-19.301188191470185,38.06065105053546
240.17967410152713,-18.371498607788745,35.04943769994728
220.10120233740955,-17.959810764641524,34.55303405179971
227.76780432974454,-17.015387817789566,32.524643841428194
208.6180191320028,-16.021313148912576,30.76191636955006
175.5805751239527,-17.074531088425417,33.25447269672287
147.01589462631426,-17.993232637760165,35.43742309140129
204.01575692387914,-19.62261479952052,38.08220771600955
210.41318856624625,-17.664428000964943,34.07468522793208
160.68022080337025,-17.483885998321668,34.10330242299774
170.18690918792115,-17.26647809046417,33.724911167668985
140.1844306128591,-16.422822796412056,32.31520075240964
165.28102362165197,-17.261376645283672,33.82485008642597
242.47539790083414,-18.28343142082729,34.86224104662844
173.28021465165622,-16.48565039287661,32.21131665901133
180.5057541743696,-12.1540685828325,23.46713846054376
164.54142939618495,-9.675541780118525,18.62245134370763
175.4264201520298,-10.090909441677098,19.25620688589235
231.95377843731347,-10.807641307183209,20.05057509094526
186.20707956318455,-10.496282321256263,19.994584045431846
146.06408669117243,-10.200681029855044,19.767854080151476
206.3124690961792,-10.751509341476483,20.202863744866438
165.09213541074138,-11.02493330239305,21.16051377553661
207.96428737475128,-11.82044083800667,22.41006082840977
145.53631216439194,-11.802891227302545,23.07484782317102
192.85862309718567,-12.785229217759085,24.50548446732309
176.667202480478,-12.997370937748693,25.085561877537558
153.49476455499803,-13.315688348493346,26.00377392533662
169.41368199142144,-13.651120084852131,26.494818771235238
231.2042196725489,-15.093153064718374,28.63573249104905
183.13660775673978,-16.262720569867945,31.637184611660334
114.57269546742425,-15.795506502050078,31.25473123983043
176.46373265894982,-13.547774915890367,26.169521677296885
217.67234699417207,-11.562056439813526,21.700123173255598
233.8763038994179,-12.929326367211614,24.152856527069194
187.10345611482566,-14.015939651527038,27.138284793633524
205.41411122478604,-13.94491279801004,26.759346833425802
124.95215391243762,-12.327427455155691,24.226615521471437
170.73353091601996,-12.615647790175807,24.36538943332568
232.63242541619937,-13.310345541178922,25.1974669649951
199.25346786610967,-13.114150061217666,25.143149077307694
176.68600546885253,-12.855543992269757,24.807137771711062
153.9266249191536,-12.458646746761831,24.319600324714102
157.22644657749444,-10.487913786679956,20.342826975919227
186.4919963682401,-9.806223386563955,18.575002599305297
121.31696465428585,-9.572704464472542,18.751776174328874
236.63056681473276,-10.601197979306098,19.641008482474223
207.45224733518933,-10.540245831301918,19.95188961096391
115.55782248671764,-10.166455423258936,19.985816053243795
124.36870047808324,-7.899504061635566,15.40871606385261
179.2758005294719,-7.111196800231001,13.393957659297856
225.74943716773276,-8.799194346284414,16.201002556269497
204.3946101851252,-9.211543328335129,17.105723196995978
197.67457968860919,-9.199981701817403,17.275127687011526
161.83437725278293,-9.038037553758292,17.28273003106444
222.80471192935798,-10.203573185142366,19.016000275269715
190.84650133507614,-11.778765721055693,22.564549328306306
161.79191884650677,-11.757727927606126,22.74954068660036
189.72730319677976,-11.181321437825057,21.282955270990715
183.50125681138815,-10.979012126477995,21.036064615091203
186.42244403603763,-11.154607073414786,21.37845250753947
159.55186038398438,-11.10117340562322,21.538343364690796
232.72500387138265,-12.68123454423962,23.844013034673296
217.16082849515686,-14.197459631900385,27.127705304808543
126.87547972718117,-13.008588614871403,25.640770880415445
168.90041929774796,-14.527095503088807,28.327968072438615
153.21280007505607,-15.176603509684448,29.787944578079127
184.3972987612256,-17.32677179819851,33.756258342805396
164.36858881907733,-18.229209030604814,35.71802132291763
181.86560275289773,-17.96458919406411,35.07134430121418
189.0400654437536,-17.721288009830804,34.486755691819916
167.0118326981917,-18.228537658330087,35.70986525423778
109.03930111985967,-19.460103768498843,38.56132681146565
216.6297010130952,-20.22696586590632,39.1250710072009
161.10836756126454,-20.544006536706572,40.366148129440965
134.5360692775037,-20.914168285729513,41.28154528512249
126.234054785384,-20.4353023847147,40.488731951210184
187.24182029636424,-19.556620035667088,38.23301478710151
